X	Y
0	0.982205029
0.01	0.942746615
0.02	0.914119923
0.03	0.874274662
0.04	0.834042553
0.05	0.815860735
0.06	0.7655706
0.07	0.722243714
0.08	0.703675048
0.09	0.652998066
0.1	0.647582205
0.11	0.606189555
0.12	0.586073501
0.13	0.547388781
0.14	0.530754352
0.15	0.495551257
0.16	0.46073501
0.17	0.45106383
0.18	0.398452611
0.19	0.372147002
0.2	0.35589942
0.21	0.337330754
0.22	0.317988395
0.23	0.300580271
0.24	0.294777563
0.25	0.266537718
0.26	0.242553191
0.27	0.213539652
0.28	0.207350097
0.29	0.166344294
0.3	0.157833656
0.31	0.150483559
0.32	0.148549323
0.33	0.123017408
0.34	0.120309478
0.35	0.10212766
0.36	0.100193424
0.37	0.070019342
0.38	0.061895551
0.39	0.070019342
0.4	0.037137331
0.41	0.063056093
0.42	0.054158607
0.43	0.015087041
0.44	0.031334623
0.45	0.016247582
0.46	0.013152805
0.47	0.027466151
0.48	0.018181818
0.49	0.009284333
0.5	0.01934236
0.51	0.01237911
0.52	0
0.53	0.032495164
0.54	0.021663443
0.55	0.026692456
0.56	0.047582205
0.57	0.040232108
0.58	0.051450677
0.59	0.03868472
0.6	0.04139265
0.61	0.045261122
0.62	0.051450677
0.63	0.090522244
0.64	0.108317215
0.65	0.119148936
0.66	0.109477756
0.67	0.113733075
0.68	0.13926499
0.69	0.148549323
0.7	0.177176015
0.71	0.18762089
0.72	0.213926499
0.73	0.201934236
0.74	0.250290135
0.75	0.252224371
0.76	0.285880077
0.77	0.315667311
0.78	0.33384913
0.79	0.350483559
0.8	0.346615087
0.81	0.381431335
0.82	0.41237911
0.83	0.44410058
0.84	0.470019342
0.85	0.470019342
0.86	0.516054159
0.87	0.538104449
0.88	0.556286267
0.89	0.599613153
0.9	0.647195358
0.91	0.648355899
0.92	0.699806576
0.93	0.711798839
0.94	0.780270793
0.95	0.797678917
0.96	0.822823985
0.97	0.882398453
0.98	0.910251451
0.99	0.941586074
1	1
