PARACATU;Latitude;-17.24;;;;;
Data;Tmax;Tmin;Insolacao;UR;Vento;ET0 PM FAO56;ET0 HS
01/01/1997;27;21;0;88.5;2.333333;2.409926486;3.988275017
02/01/1997;28.4;21;0.3;82.75;3;2.802946637;4.502742341
04/01/1997;23.2;19.6;0;96.75;2.333333;2.002981219;2.895735811
07/01/1997;32.4;19.8;6;75.25;2.333333;4.569417445;6.062754985
08/01/1997;32.4;21.6;9.1;66;2;5.604448387;5.726491852
09/01/1997;31.8;21.4;5.7;71.5;1.666667;4.470582174;5.567574167
10/01/1997;32.8;20.2;9.5;72.25;2.333333;5.596850258;6.112400553
11/01/1997;29.4;19.2;6.1;87.5;1;4.040599601;5.224562997
12/01/1997;32;20;7.3;80.5;1.333333;4.644912003;5.893397865
13/01/1997;32.4;20.2;5.9;81.75;2.333333;4.354059228;5.980544609
14/01/1997;31;20;4.2;77;2;3.918337994;5.573337279
15/01/1997;32.4;19.6;10.1;73;2;5.606528502;6.0786394
16/01/1997;33;19.8;8.2;76.25;2;5.09798563;6.226152238
17/01/1997;29.8;19;2.5;86.5;1.666667;3.108845166;5.374087448
18/01/1997;30;19.6;4;81.75;1;3.569677486;5.320628213
19/01/1997;29;19.8;2.7;83.25;0.666667;3.134252849;4.954333636
20/01/1997;27.4;20;0.9;90;3;2.558407075;4.366874638
21/01/1997;28.6;20;2.3;81.75;2.333333;3.217683545;4.772558429
24/01/1997;31.6;21;10.2;74;1.666667;5.556871314;5.538076464
25/01/1997;31.6;21.6;7.6;77.5;1.333333;4.792336522;5.411292033
28/01/1997;28.8;20;2.9;90.5;1.666667;3.091472095;4.811964125
29/01/1997;29;20;2.6;88.5;2;3.068071996;4.873175691
30/01/1997;30.4;20;5.5;76.5;3.333333;4.388879748;5.319848532
31/01/1997;31;19.8;10.6;72.75;2;5.592691752;5.540539342
01/02/1997;29.8;21.4;3.8;86.25;2.666667;3.540617282;4.820461931
05/03/1998;32.6;21.6;10.2;70;2.333333;5.580646453;5.337752618
06/03/1998;32.4;22.6;10.7;66.25;2.666667;5.904585139;5.067754607
07/03/1998;30.4;22.6;7.3;69.75;2.333333;4.749872786;4.407740031
08/03/1998;31.6;22;8.8;71.25;1;4.805438882;4.907587611
09/03/1998;32;21.8;11.1;66.5;2.333333;5.778963902;5.05370514
10/03/1998;33;21.2;10.9;65.5;2.333333;5.799516022;5.442099154
11/03/1998;33.4;21.6;10.8;64.5;1.666667;5.62600744;5.472267376
12/03/1998;33.8;22.4;9.8;67.5;2.333333;5.594815568;5.431433765
13/03/1998;33.4;22.4;7.8;68.75;2.333333;5.031359793;5.293654395
14/03/1998;33.6;22.6;6.3;74.25;3;4.657795425;5.298077001
15/03/1998;32.8;21.8;8.7;71;0.666667;4.657691373;5.187056905
16/03/1998;31.6;23.4;7.5;75;2.333333;4.660146369;4.481929566
17/03/1998;30;22;7.1;78.5;3;4.358154942;4.264458242
18/03/1998;26.8;21.4;0.6;77;1.333333;2.474765885;3.338980292
19/03/1998;30.8;20.6;7.8;76.75;1.666667;4.355145208;4.745960012
20/03/1998;30.6;22.3;3.2;76.5;2;3.375725417;4.33803155
21/03/1998;31.8;20.8;4.1;72.25;1.333333;3.515793407;4.957413626
22/03/1998;32;20.4;8.8;68.5;1.333333;4.653809259;5.058901892
23/03/1998;30;19.8;7.1;80.5;2.333333;4.042182553;4.58492035
24/03/1998;32.4;21.2;8.6;72.75;1.666667;4.667758575;4.997493399
25/03/1998;33.2;23;6.6;72.75;2;4.38730914;4.887664051
26/03/1998;32.2;21.2;9.6;73;1;4.703920183;4.900058694
27/03/1998;32;21.6;8.6;83.25;2.666667;4.484968821;4.754768918
28/03/1998;31;21.2;8.8;73;2.333333;4.675157627;4.523405334
29/03/1998;32;22.6;9.3;67.25;1.666667;4.856162999;4.531229976
30/03/1998;32.2;21.8;8.6;67.75;2.666667;4.948306123;4.713420511
31/03/1998;33.4;21.2;10.3;68.25;2.333333;5.262407652;5.116141972
01/04/1998;33;22.2;7.2;73.5;2.333333;4.430086391;4.823672941
02/04/1998;32.4;22.8;9.4;68.75;2.666667;5.099255138;4.526948839
03/04/1998;29.7;22.5;5.2;74;4.333333;4.152404462;3.77337131
04/04/1998;26.3;20.4;0.3;77;2.333333;2.44764931;3.186842732
05/04/1998;26.1;19.2;3.4;80;1.666667;2.805612149;3.371754473
06/04/1998;30.5;16.8;10.2;75.25;2.333333;4.494547825;4.84538837
07/04/1998;32;19.4;10.6;68.75;1.666667;4.785687619;4.853251519
08/04/1998;32.4;20.6;9.2;68.5;1.666667;4.55914439;4.759944499
09/04/1998;34;20.6;9.4;65.5;1.333333;4.621386123;5.138900536
10/04/1998;33.4;20.8;10.5;64.5;1.666667;4.929819433;4.936772057
11/04/1998;33.8;20.4;9.9;68.5;2.333333;4.945296196;5.066025305
12/04/1998;32.6;22.2;9.2;67;1.333333;4.468208366;4.470630171
13/04/1998;33.2;21.8;10.2;64.5;2.333333;5.071266546;4.667648063
14/04/1998;33.6;20.8;10.3;63.25;2.666667;5.21035136;4.888645916
15/04/1998;33;20.8;10.4;64.25;1.333333;4.642028107;4.717076218
16/04/1998;34.2;20.4;9.9;61.5;0.666667;4.295460415;5.036254745
17/04/1998;34;21;7.7;66.5;1;3.970200871;4.884953691
18/04/1998;31.4;21.4;4.2;81.5;2;3.105588288;4.159160646
19/04/1998;33;20.6;10.3;71.75;1;4.381040211;4.649614585
20/04/1998;33.4;21.4;10.3;66.5;1.666667;4.668452802;4.611946156
21/04/1998;31;23.8;5.8;67.75;2.333333;3.90756129;3.554192914
22/04/1998;32;21.2;10.5;62.75;2;4.719773722;4.254129358
23/04/1998;32;21.4;10.4;65.75;2;4.636822878;4.202501593
24/04/1998;33.2;20;10.4;63.25;1.333333;4.428372105;4.655268679
25/04/1998;34.4;20.8;9.6;64.5;1;4.222149874;4.80708712
26/04/1998;34.8;22.4;9.5;66;0.666667;4.126648123;4.667352713
27/04/1998;33.8;22.2;10.3;68.5;2.333333;4.769457252;4.433287438
28/04/1998;32.8;21.8;7.8;71;2.333333;4.117086251;4.229604007
29/04/1998;26.9;19;0;96.5;1.333333;1.554324477;3.222333431
30/04/1998;27;17.4;4.4;84;1.666667;2.571648372;3.469251803
01/05/1998;30.9;17.8;9.8;70.5;1.666667;3.954388381;4.249071816
02/05/1998;30.9;17;10.1;69.75;1.666667;3.965898732;4.313764505
03/05/1998;31.4;17.2;9.9;68.75;0.666667;3.652877761;4.374847963
04/05/1998;32;19.2;10;68.25;2;4.201535924;4.260782458
05/05/1998;27.3;18.8;2.8;75;2;2.56836645;3.252140553
06/05/1998;28.5;19.2;8.2;76.25;2;3.462989764;3.451548463
07/05/1998;28.5;19.6;6.5;80.5;2.666667;3.171186509;3.376413651
08/05/1998;26.9;16.8;8.2;80.25;3;3.257044803;3.391533607
09/05/1998;27.3;15.2;9.6;75.5;1;3.245206562;3.638763435
10/05/1998;27.5;13.8;10.2;75.75;0.666667;3.222078552;3.79460679
11/05/1998;29.3;13.6;10.1;71;1.666667;3.546402958;4.127559178
12/05/1998;29.9;14.4;10.2;70.75;0.666667;3.345433486;4.155326523
