Data;tMax; tMin; UR; insolacao; vel vento; Ra; ETo PM;ETo HS
01/01/2001;28;19.8;72.75;3.1;2.518266916;42.52053154;3.952420971;4.764635313
02/01/2001;28.2;17;76;5.3;2.4684;42.50692007;4.191589127;5.393094298
03/01/2001;27.3;19.5;81.5;2.9;2.792533084;42.49173778;3.495556166;4.588143676
04/01/2001;28.2;17.8;73.5;6.9;1.321466916;42.47497053;4.473832396;5.244425472
05/01/2001;30.4;19;65.75;9.8;1.146933084;42.45660339;5.475423421;5.717084374
06/01/2001;31.4;17;62.75;11.1;0.797866916;42.43662057;5.675692761;6.346865971
07/01/2001;31.5;17.5;60.5;12;0.772933084;42.41500551;5.927585349;6.299584591
08/01/2001;31.2;19.3;63.5;8.9;1.097066916;42.39174088;5.329409193;5.90766537
09/01/2001;28.3;17.9;78.5;8.5;1.670533084;42.36680865;4.795572905;5.243891872
10/01/2001;29.3;17.6;71.75;6.5;1.146933084;42.3401901;4.420967793;5.606059289
11/01/2001;30.2;16.3;69.25;10.8;1.770266916;42.31186589;5.655660406;6.076741164
12/01/2001;30.6;18.1;62.25;9.9;1.545866916;42.28181606;5.664138035;5.912813994
13/01/2001;30.3;19.3;59.5;10.7;3.1416;42.25002012;6.556147055;5.601713085
14/01/2001;28.4;17.3;73.25;9.1;1.745333084;42.21645706;5.046083725;5.365272958
15/01/2001;29.2;17.7;59.75;10.7;2.667866916;42.18110543;6.162733015;5.537054895
16/01/2001;29;16.7;56.75;8.9;2.667866916;42.14394335;5.837401539;5.638145435
17/01/2001;30.9;18.2;52.75;12.2;2.3936;42.1049486;6.830659486;5.963159363
18/01/2001;29.7;18.3;65;12.1;2.667866916;42.06409866;6.3340295;5.5709376
19/01/2001;31.6;18.3;65.75;10.8;1.496;42.02137074;5.868612596;6.147805989
20/01/2001;28.7;19;80.75;4.6;1.745333084;41.97674188;3.844451507;5.109725838
21/01/2001;30.1;18;80.75;5.2;1.446133084;41.93018896;3.999029316;5.727999431
22/01/2001;27.9;18;82.25;4.8;1.321466916;41.8816888;3.729857726;5.039151262
23/01/2001;28.8;18.9;88.25;7;1.7204;41.83121819;4.212645797;5.144238723
24/01/2001;27;18.6;83.5;1.5;0.8228;41.77875397;2.805316341;4.613273035
25/01/2001;29.1;18.5;82.5;4.6;1.122;41.72427308;3.727301403;5.30301727
26/01/2001;29.9;20.6;75.75;6.2;1.396266916;41.66775262;4.436933034;5.133371632
27/01/2001;29.8;19.5;77;5.3;1.022266916;41.60916992;4.053262183;5.31953117
28/01/2001;27.3;19.5;85.5;1.3;2.568133084;41.54850261;2.876244725;4.486295677
29/01/2001;29.3;18.3;79.5;7.7;1.595733084;41.48572867;4.596642244;5.371262717
